Frecuencias de nombres masculinos;;;
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2016;;;
;;;
Nombres masculinos con frecuencia mayor o igual a 20 a nivel nacional.;;;
(*) Edad media de las personas que tienen ese nombre a nivel nacional.;;;
;;;
Orden;Nombre;Frecuencia;Edad Media (*)
494;NOE;3.522 ;22,7
495;AXEL;3.521 ;13,7
496;CARLOS ANTONIO;3.520 ;42,2
497;JOSE ALFONSO;3.494 ;48,3
498;JOSE EMILIO;3.483 ;49,8
499;URBANO;3.463 ;64,6
500;EDUARDO JOSE;3.457 ;39,4
501;ZAKARIA;3.421 ;14,2
502;ANTONIO DAVID;3.419 ;26,1
503;SEVERINO;3.412 ;65,4
504;PEDRO ANGEL;3.410 ;45,2
505;AUGUSTO;3.405 ;55,2
506;MAXIMILIANO;3.405 ;51,2
507;NABIL;3.379 ;23,4
508;ALEJANDRO JOSE;3.375 ;29,0
509;ISMAIL;3.370 ;20,5
510;MIGUEL ANTONIO;3.368 ;46,0
511;MOUSSA;3.359 ;34,2
512;DUMITRU;3.351 ;44,5
513;CEFERINO;3.335 ;63,7
514;VENANCIO;3.331 ;64,4
515;JOSE EDUARDO;3.327 ;45,5
516;ISAIAS;3.322 ;45,3
517;FRANCISCO RAMON;3.318 ;46,6
518;ABELARDO;3.303 ;58,7
519;PEDRO JUAN;3.275 ;50,0
520;LUIS EDUARDO;3.267 ;37,6
521;ENRIQUE JOSE;3.263 ;43,5
522;ANGEL JOSE;3.252 ;46,7
523;AYMAN;3.234 ;7,7
524;INOCENCIO;3.212 ;65,6
525;YASSIN;3.208 ;13,4
526;ALEJO;3.185 ;41,2
527;JOSE JULIAN;3.183 ;47,7
528;JESUS ALBERTO;3.174 ;39,6
529;UNAX;3.172 ;7,0
530;ADIL;3.168 ;28,7
531;JOSE BENITO;3.142 ;56,7
532;IONEL;3.135 ;41,4
533;ALESSANDRO;3.129 ;26,0
534;JOSE RAUL;3.118 ;40,0
535;PRIMITIVO;3.118 ;67,1
536;MANUEL MARIA;3.111 ;51,2
537;JORGE MANUEL;3.110 ;39,7
538;NOUREDDINE;3.104 ;37,8
539;JOSE AGUSTIN;3.060 ;50,2
540;BAUTISTA;3.057 ;66,4
541;MIMOUN;3.054 ;44,8
542;JUAN RAFAEL;3.048 ;45,6
543;ARKAITZ;3.043 ;27,1
544;GENARO;3.007 ;61,0
545;JOSE RICARDO;3.007 ;47,3
546;DIEGO JOSE;3.000 ;33,6
547;ANDREI;2.997 ;26,0
548;LANDER;2.984 ;19,6
549;FERNANDO JAVIER;2.979 ;42,4
550;JON ANDER;2.976 ;26,3
551;ENDIKA;2.963 ;22,1
552;BRAULIO;2.962 ;56,9
553;JORGE ANTONIO;2.945 ;40,5
554;LUIS FELIPE;2.942 ;42,3
555;CONRADO;2.940 ;57,4
556;ANGEL ANTONIO;2.932 ;46,2
557;NEMESIO;2.924 ;65,7
558;KILIAN;2.915 ;14,6
559;MOHAMMAD;2.910 ;41,0
560;CARLOS JESUS;2.906 ;38,7
561;PRUDENCIO;2.903 ;63,9
562;RICHARD;2.896 ;35,4
563;ANXO;2.888 ;12,7
564;YOUNES;2.883 ;22,1
565;AGAPITO;2.879 ;67,5
566;DELFIN;2.868 ;62,4
567;CARLOS ANDRES;2.853 ;31,1
568;LEONCIO;2.846 ;66,2
569;VICTOR HUGO;2.845 ;37,3
570;LUIS JOSE;2.844 ;45,6
571;THIAGO;2.817 ;4,9
572;YOEL;2.815 ;10,9
573;JUAN CRUZ;2.810 ;53,3
574;URKO;2.794 ;20,0
575;SECUNDINO;2.791 ;66,1
576;EDER;2.781 ;15,5
577;INDALECIO;2.770 ;59,7
578;BRYAN;2.768 ;13,2
579;FAUSTO;2.760 ;58,8
580;JOHN;2.747 ;50,6
581;AGUSTI;2.746 ;53,2
582;GENIS;2.734 ;20,4
583;JOSE JULIO;2.728 ;48,9
584;NOAH;2.721 ;5,4
585;HUMBERTO;2.715 ;47,0
586;MOSTAFA;2.696 ;41,8
587;OVIDIO;2.691 ;63,7
588;AMBROSIO;2.671 ;65,2
589;EFREN;2.671 ;31,7
590;VIOREL;2.666 ;43,4
591;JACOB;2.663 ;28,7
592;JULIO ALBERTO;2.658 ;34,5
593;TEO;2.646 ;5,6
594;ANTONIO ANGEL;2.645 ;43,7
595;ESTEVE;2.641 ;45,8
596;PABLO ANTONIO;2.631 ;37,9
597;ABDELLATIF;2.623 ;39,0
598;VLADIMIR;2.619 ;40,8
599;PETER;2.616 ;54,0
600;GABINO;2.610 ;61,5
601;CARLOS MIGUEL;2.605 ;40,9
602;GIOVANNI;2.601 ;31,8
603;IONUT;2.596 ;28,8
604;ANICETO;2.595 ;65,4
605;NACHO;2.579 ;6,9
606;JUAN SEBASTIAN;2.574 ;30,6
607;ABDERRAHMAN;2.568 ;37,4
608;PEDRO FRANCISCO;2.566 ;46,4
609;ANTONIO RAMON;2.548 ;48,4
610;OLEKSANDR;2.548 ;36,7
611;CESAR AUGUSTO;2.546 ;41,5
612;BELTRAN;2.539 ;11,5
613;LUIS MARIANO;2.534 ;47,7
614;LLORENÇ;2.533 ;37,3
615;VOLODYMYR;2.529 ;42,2
616;SILVESTRE;2.528 ;58,3
617;LEON;2.526 ;44,5
618;ADAY;2.507 ;13,0
